S.No,Contaminant,Initial conc,Final Conc,%removal,Initial pH,Final pH,Current,Electrode Gap,Current Density,Voltage,Nacl conc,Residence Time,Reactor Volume,Electrode Material,Batch/Continuous,Electrode Area,Reference No.
,F,7.27,3.53,51.44,6.0,,0.148,0.6,50.0,,,20.0,0.45,Al,Batch,29.6,
,F,50.0,8.0,84.0,9.0,,1.0,2.0,150.87,,,40.0,1500.0,Fe,batch,66.28,21.0
,As,0.15,0.0072,95.2,5.5,,0.05475,1.3,2.5,,,10.0,750.0,Fe,batch,219.0,10.0
,F,50.0,29.0,42.0,9.0,,1.992,3.0,83.0,,,10.0,2.0,Al,Batch,240.0,
,As,10.0,6.8,32.0,6.0,,0.4,5.0,21.05263158,,,2.5,2.0,Fe,Batch,190.0,
74.0,As,50.0,15.0,70.0,2.0,,0.756,0.5,5.4,15.0,,30.0,1400.0,Fe,batch,1400.0,9.0
120.0,F,4.5,1.0035,77.7,7.0,,2.048,0.02,4.0,30.0,710.0,40.0,,Al-Fe,batch,521.0,20.0
18.0,F,10.0,8.4,16.0,7.0,7.0,3.0,5.0,300.0,,0.1,10.0,1000.0,al,batch,100.0,30.0
,As,10.0,2.0,80.0,4.0,,1.2,5.0,63.15789474,,,90.0,2.0,Al,Batch,190.0,
,As,10.0,6.5,35.0,8.0,,0.4,5.0,21.05263158,,,10.0,2.0,Fe,Batch,190.0,
,As,0.205,0.0205,90.0,10.0,,0.6,1.5,75.0,,,30.0,0.25,Fe,Batch,80.0,
,F,100.0,47.6,52.4,9.0,,1.992,3.0,83.0,,,20.0,2.0,Al,Batch,240.0,
,F,7.27,2.24,69.2,5.0,,0.1184,0.6,40.0,,,21.0,0.45,Al,Batch,29.6,
,As,0.1,0.00437,95.63,7.0,,0.35,1.0,6.25,,,11.66,1.7,Al,Batch,560.0,
6.0,F,4.24,2.479976,41.51,3.0,4.57,0.441,,45.0,2.9,,15.0,,Al,batch,98.0,1.0
,F,7.27,3.48,52.11,5.0,,0.1776,0.6,60.0,,,7.0,0.45,Al,Batch,29.6,
38.0,As,50.0,0.05,99.9,4.0,,0.1,3.0,0.54,3.0,,45.0,1000.0,Fe,batch,185.185,8.0
,As,0.275,0.00242,99.12,,,0.075,1.5,15.0,,,37.5,1500.0,Fe,batch,50.0,45.0
,As,0.1,0.03042,69.58,7.0,,0.35,1.0,6.25,,,6.0,1.7,Al,Batch,560.0,
,F,5.0,0.5,90.0,6.0,,6.0,0.5,37.5,,,60.0,8000.0,Al,batch,1600.0,16.0
17.0,As,1.42,0.1207,91.5,10.0,,0.375,3.0,300.0,,,60.0,250.0,Al-Fe,batch,12.5,2.0
41.0,As,0.76,0.00076,99.9,7.1,,0.1,3.0,10.0,3.0,,,1000.0,Fe,batch,10.0,8.0
,F,7.27,6.01,17.33,8.0,,0.148,0.6,50.0,,,15.0,0.45,Al,Batch,29.6,
,As,0.1,0.01427,85.73,7.0,,0.2,1.0,3.571428571,,,2.0,1.7,Fe,Batch,560.0,
4.0,As,0.042,0.00084,98.0,3.0,6.47,2.597,,45.0,5.05,,15.0,,Al-Fe,batch,577.2,1.0
